user,contributions,repositories,primary_language,monthly_contributions,contribution_types
EdouM,3750,15,Jupyter Notebook,"{'2017-01': 0, '2017-02': 48, '2017-03': 140, '2017-04': 91, '2017-05': 82, '2017-06': 108, '2017-07': 109, '2017-08': 66, '2017-09': 61, '2017-10': 70, '2017-11': 86, '2017-12': 86, '2018-01': 147, '2018-02': 83, '2018-03': 527, '2018-04': 251, '2018-05': 192, '2018-06': 206, '2018-07': 117, '2018-08': 117, '2018-09': 25, '2018-10': 157, '2018-11': 102, '2018-12': 79, '2019-01': 105, '2019-02': 144, '2019-03': 42, '2019-04': 27, '2019-05': 43, '2019-06': 49, '2019-07': 91, '2019-08': 68, '2019-09': 34, '2019-10': 34, '2019-11': 51, '2019-12': 50, '2020-01': 26, '2020-02': 25, '2020-03': 11, '2020-04': 0, '2020-05': 0, '2020-06': 0, '2020-07': 0, '2020-08': 0, '2020-09': 0, '2020-10': 0, '2020-11': 0, '2020-12': 0, '2021-01': 0, '2021-02': 0, '2021-03': 0, '2021-04': 0, '2021-05': 0, '2021-06': 0, '2021-07': 0, '2021-08': 0, '2021-09': 0, '2021-10': 0, '2021-11': 0, '2021-12': 0, '2022-01': 0, '2022-02': 0, '2022-03': 0, '2022-04': 0, '2022-05': 0, '2022-06': 0, '2022-07': 0, '2022-08': 0, '2022-09': 0, '2022-10': 0, '2022-11': 0, '2022-12': 0, '2023-01': 0, '2023-02': 0, '2023-03': 0, '2023-04': 0, '2023-05': 0, '2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 0}","{'commits': 35, 'pull_requests': 2, 'issues': 1, 'reviews': 0}"
fabiomontefuscolo,1676,26,Shell,"{'2017-01': 13, '2017-02': 10, '2017-03': 9, '2017-04': 57, '2017-05': 0, '2017-06': 2, '2017-07': 4, '2017-08': 4, '2017-09': 5, '2017-10': 4, '2017-11': 7, '2017-12': 14, '2018-01': 15, '2018-02': 4, '2018-03': 9, '2018-04': 0, '2018-05': 29, '2018-06': 0, '2018-07': 0, '2018-08': 0, '2018-09': 0, '2018-10': 1, '2018-11': 0, '2018-12': 3, '2019-01': 13, '2019-02': 0, '2019-03': 1, '2019-04': 9, '2019-05': 0, '2019-06': 13, '2019-07': 2, '2019-08': 7, '2019-09': 0, '2019-10': 0, '2019-11': 1, '2019-12': 0, '2020-01': 11, '2020-02': 20, '2020-03': 15, '2020-04': 15, '2020-05': 0, '2020-06': 0, '2020-07': 3, '2020-08': 0, '2020-09': 0, '2020-10': 6, '2020-11': 2, '2020-12': 2, '2021-01': 9, '2021-02': 5, '2021-03': 0, '2021-04': 6, '2021-05': 2, '2021-06': 1, '2021-07': 1, '2021-08': 2, '2021-09': 0, '2021-10': 4, '2021-11': 1, '2021-12': 0, '2022-01': 5, '2022-02': 4, '2022-03': 11, '2022-04': 19, '2022-05': 33, '2022-06': 36, '2022-07': 35, '2022-08': 41, '2022-09': 22, '2022-10': 45, '2022-11': 44, '2022-12': 45, '2023-01': 13, '2023-02': 58, '2023-03': 94, '2023-04': 32, '2023-05': 67, '2023-06': 34, '2023-07': 50, '2023-08': 119, '2023-09': 29, '2023-10': 22, '2023-11': 51, '2023-12': 21, '2024-01': 92, '2024-02': 29, '2024-03': 27, '2024-04': 30, '2024-05': 47, '2024-06': 38, '2024-07': 21, '2024-08': 68, '2024-09': 53}","{'commits': 309, 'pull_requests': 44, 'issues': 23, 'reviews': 3}"
XBeg9,3298,85,Objective-C,"{'2017-01': 1, '2017-02': 2, '2017-03': 52, '2017-04': 186, '2017-05': 102, '2017-06': 5, '2017-07': 10, '2017-08': 25, '2017-09': 13, '2017-10': 1, '2017-11': 31, '2017-12': 3, '2018-01': 0, '2018-02': 3, '2018-03': 0, '2018-04': 3, '2018-05': 1, '2018-06': 6, '2018-07': 1, '2018-08': 0, '2018-09': 0, '2018-10': 0, '2018-11': 4, '2018-12': 7, '2019-01': 2, '2019-02': 2, '2019-03': 1, '2019-04': 2, '2019-05': 3, '2019-06': 6, '2019-07': 1, '2019-08': 2, '2019-09': 2, '2019-10': 0, '2019-11': 0, '2019-12': 0, '2020-01': 0, '2020-02': 4, '2020-03': 135, '2020-04': 59, '2020-05': 49, '2020-06': 22, '2020-07': 6, '2020-08': 9, '2020-09': 4, '2020-10': 61, '2020-11': 123, '2020-12': 184, '2021-01': 53, '2021-02': 67, '2021-03': 20, '2021-04': 109, '2021-05': 109, '2021-06': 0, '2021-07': 4, '2021-08': 0, '2021-09': 1, '2021-10': 14, '2021-11': 145, '2021-12': 16, '2022-01': 19, '2022-02': 17, '2022-03': 8, '2022-04': 46, '2022-05': 23, '2022-06': 19, '2022-07': 52, '2022-08': 23, '2022-09': 47, '2022-10': 52, '2022-11': 30, '2022-12': 34, '2023-01': 9, '2023-02': 10, '2023-03': 31, '2023-04': 21, '2023-05': 16, '2023-06': 47, '2023-07': 16, '2023-08': 38, '2023-09': 37, '2023-10': 39, '2023-11': 21, '2023-12': 21, '2024-01': 72, '2024-02': 74, '2024-03': 123, '2024-04': 129, '2024-05': 130, '2024-06': 133, '2024-07': 212, '2024-08': 49, '2024-09': 29}","{'commits': 94, 'pull_requests': 68, 'issues': 52, 'reviews': 14}"
shasha79,113,42,Python,"{'2017-01': 4, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 2, '2017-09': 0, '2017-10': 0, '2017-11': 0, '2017-12': 0, '2018-01': 1, '2018-02': 0, '2018-03': 1, '2018-04': 0, '2018-05': 0, '2018-06': 2, '2018-07': 1, '2018-08': 1, '2018-09': 0, '2018-10': 0, '2018-11': 5, '2018-12': 2, '2019-01': 0, '2019-02': 9, '2019-03': 3, '2019-04': 0, '2019-05': 0, '2019-06': 1, '2019-07': 0, '2019-08': 0, '2019-09': 3, '2019-10': 2, '2019-11': 1, '2019-12': 9, '2020-01': 1, '2020-02': 14, '2020-03': 3, '2020-04': 3, '2020-05': 0, '2020-06': 1, '2020-07': 3, '2020-08': 0, '2020-09': 0, '2020-10': 0, '2020-11': 0, '2020-12': 0, '2021-01': 0, '2021-02': 1, '2021-03': 0, '2021-04': 0, '2021-05': 0, '2021-06': 4, '2021-07': 5, '2021-08': 1, '2021-09': 0, '2021-10': 0, '2021-11': 0, '2021-12': 0, '2022-01': 0, '2022-02': 0, '2022-03': 0, '2022-04': 0, '2022-05': 0, '2022-06': 0, '2022-07': 0, '2022-08': 1, '2022-09': 0, '2022-10': 1, '2022-11': 0, '2022-12': 0, '2023-01': 1, '2023-02': 1, '2023-03': 0, '2023-04': 0, '2023-05': 0, '2023-06': 2, '2023-07': 1, '2023-08': 13, '2023-09': 1, '2023-10': 1, '2023-11': 0, '2023-12': 0, '2024-01': 1, '2024-02': 0, '2024-03': 2, '2024-04': 1, '2024-05': 0, '2024-06': 1, '2024-07': 2, '2024-08': 1, '2024-09': 0}","{'commits': 50, 'pull_requests': 10, 'issues': 7, 'reviews': 13}"
SamBlackLotus,216,10,Python,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 0, '2017-10': 0, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 0, '2018-03': 0, '2018-04': 0, '2018-05': 0, '2018-06': 0, '2018-07': 0, '2018-08': 0, '2018-09': 0, '2018-10': 0, '2018-11': 0, '2018-12': 0, '2019-01': 0, '2019-02': 0, '2019-03': 0, '2019-04': 0, '2019-05': 0, '2019-06': 0, '2019-07': 0, '2019-08': 0, '2019-09': 0, '2019-10': 0, '2019-11': 0, '2019-12': 0, '2020-01': 0, '2020-02': 0, '2020-03': 0, '2020-04': 0, '2020-05': 0, '2020-06': 0, '2020-07': 0, '2020-08': 0, '2020-09': 0, '2020-10': 0, '2020-11': 0, '2020-12': 0, '2021-01': 0, '2021-02': 0, '2021-03': 0, '2021-04': 0, '2021-05': 0, '2021-06': 0, '2021-07': 0, '2021-08': 0, '2021-09': 0, '2021-10': 0, '2021-11': 0, '2021-12': 0, '2022-01': 0, '2022-02': 0, '2022-03': 0, '2022-04': 0, '2022-05': 0, '2022-06': 0, '2022-07': 0, '2022-08': 0, '2022-09': 0, '2022-10': 1, '2022-11': 0, '2022-12': 25, '2023-01': 0, '2023-02': 0, '2023-03': 0, '2023-04': 1, '2023-05': 0, '2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 1, '2023-10': 0, '2023-11': 38, '2023-12': 72, '2024-01': 26, '2024-02': 12, '2024-03': 24, '2024-04': 13, '2024-05': 3, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 0}","{'commits': 204, 'pull_requests': 1, 'issues': 0, 'reviews': 0}"
mardntas,554,37,C,"{'2017-01': 2, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 1, '2017-06': 0, '2017-07': 0, '2017-08': 1, '2017-09': 12, '2017-10': 16, '2017-11': 24, '2017-12': 11, '2018-01': 0, '2018-02': 0, '2018-03': 1, '2018-04': 5, '2018-05': 6, '2018-06': 9, '2018-07': 0, '2018-08': 5, '2018-09': 22, '2018-10': 12, '2018-11': 30, '2018-12': 0, '2019-01': 0, '2019-02': 0, '2019-03': 1, '2019-04': 1, '2019-05': 2, '2019-06': 6, '2019-07': 0, '2019-08': 13, '2019-09': 59, '2019-10': 38, '2019-11': 54, '2019-12': 2, '2020-01': 0, '2020-02': 0, '2020-03': 7, '2020-04': 5, '2020-05': 0, '2020-06': 14, '2020-07': 1, '2020-08': 17, '2020-09': 4, '2020-10': 16, '2020-11': 6, '2020-12': 13, '2021-01': 6, '2021-02': 12, '2021-03': 7, '2021-04': 0, '2021-05': 4, '2021-06': 0, '2021-07': 0, '2021-08': 0, '2021-09': 0, '2021-10': 0, '2021-11': 0, '2021-12': 0, '2022-01': 0, '2022-02': 0, '2022-03': 3, '2022-04': 29, '2022-05': 4, '2022-06': 1, '2022-07': 0, '2022-08': 0, '2022-09': 0, '2022-10': 0, '2022-11': 0, '2022-12': 8, '2023-01': 28, '2023-02': 36, '2023-03': 0, '2023-04': 0, '2023-05': 0, '2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 0}","{'commits': 340, 'pull_requests': 50, 'issues': 94, 'reviews': 45}"
bielrossi15,1431,74,Python,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 0, '2017-10': 0, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 0, '2018-03': 1, '2018-04': 0, '2018-05': 0, '2018-06': 0, '2018-07': 0, '2018-08': 5, '2018-09': 25, '2018-10': 30, '2018-11': 18, '2018-12': 33, '2019-01': 5, '2019-02': 0, '2019-03': 18, '2019-04': 26, '2019-05': 21, '2019-06': 16, '2019-07': 0, '2019-08': 4, '2019-09': 39, '2019-10': 30, '2019-11': 19, '2019-12': 9, '2020-01': 0, '2020-02': 0, '2020-03': 11, '2020-04': 2, '2020-05': 2, '2020-06': 2, '2020-07': 0, '2020-08': 12, '2020-09': 31, '2020-10': 24, '2020-11': 41, '2020-12': 22, '2021-01': 0, '2021-02': 0, '2021-03': 39, '2021-04': 22, '2021-05': 13, '2021-06': 0, '2021-07': 2, '2021-08': 75, '2021-09': 345, '2021-10': 302, '2021-11': 48, '2021-12': 6, '2022-01': 7, '2022-02': 24, '2022-03': 10, '2022-04': 34, '2022-05': 0, '2022-06': 1, '2022-07': 12, '2022-08': 7, '2022-09': 35, '2022-10': 0, '2022-11': 0, '2022-12': 0, '2023-01': 3, '2023-02': 0, '2023-03': 0, '2023-04': 0, '2023-05': 0, '2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 0}","{'commits': 1205, 'pull_requests': 82, 'issues': 38, 'reviews': 54}"
KarlaCSF,1091,27,JavaScript,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 0, '2017-10': 0, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 0, '2018-03': 0, '2018-04': 0, '2018-05': 0, '2018-06': 0, '2018-07': 0, '2018-08': 0, '2018-09': 0, '2018-10': 0, '2018-11': 0, '2018-12': 0, '2019-01': 0, '2019-02': 0, '2019-03': 0, '2019-04': 0, '2019-05': 0, '2019-06': 0, '2019-07': 0, '2019-08': 0, '2019-09': 0, '2019-10': 0, '2019-11': 0, '2019-12': 0, '2020-01': 0, '2020-02': 0, '2020-03': 0, '2020-04': 0, '2020-05': 0, '2020-06': 0, '2020-07': 0, '2020-08': 0, '2020-09': 0, '2020-10': 0, '2020-11': 0, '2020-12': 0, '2021-01': 0, '2021-02': 1, '2021-03': 0, '2021-04': 0, '2021-05': 0, '2021-06': 0, '2021-07': 1, '2021-08': 0, '2021-09': 24, '2021-10': 2, '2021-11': 0, '2021-12': 0, '2022-01': 0, '2022-02': 0, '2022-03': 5, '2022-04': 1, '2022-05': 24, '2022-06': 4, '2022-07': 93, '2022-08': 130, '2022-09': 36, '2022-10': 0, '2022-11': 15, '2022-12': 21, '2023-01': 40, '2023-02': 3, '2023-03': 0, '2023-04': 0, '2023-05': 12, '2023-06': 0, '2023-07': 5, '2023-08': 4, '2023-09': 0, '2023-10': 9, '2023-11': 0, '2023-12': 8, '2024-01': 10, '2024-02': 15, '2024-03': 2, '2024-04': 14, '2024-05': 108, '2024-06': 133, '2024-07': 168, '2024-08': 118, '2024-09': 85}","{'commits': 499, 'pull_requests': 32, 'issues': 0, 'reviews': 8}"
icaropires,6639,75,Python,"{'2017-01': 0, '2017-02': 0, '2017-03': 7, '2017-04': 62, '2017-05': 53, '2017-06': 59, '2017-07': 12, '2017-08': 50, '2017-09': 50, '2017-10': 128, '2017-11': 70, '2017-12': 10, '2018-01': 19, '2018-02': 9, '2018-03': 29, '2018-04': 103, '2018-05': 80, '2018-06': 55, '2018-07': 2, '2018-08': 7, '2018-09': 13, '2018-10': 62, '2018-11': 83, '2018-12': 54, '2019-01': 25, '2019-02': 94, '2019-03': 87, '2019-04': 204, '2019-05': 86, '2019-06': 219, '2019-07': 52, '2019-08': 20, '2019-09': 44, '2019-10': 77, '2019-11': 31, '2019-12': 48, '2020-01': 16, '2020-02': 18, '2020-03': 5, '2020-04': 9, '2020-05': 12, '2020-06': 5, '2020-07': 37, '2020-08': 55, '2020-09': 27, '2020-10': 57, '2020-11': 73, '2020-12': 7, '2021-01': 42, '2021-02': 31, '2021-03': 8, '2021-04': 88, '2021-05': 92, '2021-06': 56, '2021-07': 48, '2021-08': 304, '2021-09': 77, '2021-10': 163, '2021-11': 48, '2021-12': 71, '2022-01': 63, '2022-02': 44, '2022-03': 60, '2022-04': 81, '2022-05': 93, '2022-06': 60, '2022-07': 64, '2022-08': 44, '2022-09': 156, '2022-10': 103, '2022-11': 152, '2022-12': 114, '2023-01': 56, '2023-02': 171, '2023-03': 68, '2023-04': 130, '2023-05': 48, '2023-06': 84, '2023-07': 116, '2023-08': 117, '2023-09': 145, '2023-10': 72, '2023-11': 163, '2023-12': 85, '2024-01': 76, '2024-02': 70, '2024-03': 200, '2024-04': 113, '2024-05': 47, '2024-06': 84, '2024-07': 76, '2024-08': 181, '2024-09': 150}","{'commits': 1835, 'pull_requests': 163, 'issues': 233, 'reviews': 32}"
naoko,104,31,Python,"{'2017-01': 3, '2017-02': 7, '2017-03': 3, '2017-04': 1, '2017-05': 0, '2017-06': 1, '2017-07': 2, '2017-08': 0, '2017-09': 0, '2017-10': 1, '2017-11': 0, '2017-12': 1, '2018-01': 0, '2018-02': 0, '2018-03': 1, '2018-04': 0, '2018-05': 8, '2018-06': 8, '2018-07': 0, '2018-08': 2, '2018-09': 0, '2018-10': 0, '2018-11': 1, '2018-12': 2, '2019-01': 0, '2019-02': 11, '2019-03': 3, '2019-04': 0, '2019-05': 2, '2019-06': 1, '2019-07': 4, '2019-08': 2, '2019-09': 1, '2019-10': 2, '2019-11': 0, '2019-12': 0, '2020-01': 0, '2020-02': 0, '2020-03': 1, '2020-04': 5, '2020-05': 1, '2020-06': 1, '2020-07': 3, '2020-08': 0, '2020-09': 1, '2020-10': 3, '2020-11': 0, '2020-12': 5, '2021-01': 0, '2021-02': 2, '2021-03': 0, '2021-04': 0, '2021-05': 0, '2021-06': 0, '2021-07': 0, '2021-08': 2, '2021-09': 1, '2021-10': 1, '2021-11': 0, '2021-12': 0, '2022-01': 0, '2022-02': 2, '2022-03': 0, '2022-04': 0, '2022-05': 4, '2022-06': 1, '2022-07': 1, '2022-08': 0, '2022-09': 0, '2022-10': 0, '2022-11': 0, '2022-12': 0, '2023-01': 0, '2023-02': 0, '2023-03': 0, '2023-04': 1, '2023-05': 0, '2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 1, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 0, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 0}","{'commits': 57, 'pull_requests': 7, 'issues': 26, 'reviews': 3}"
VictorJorgeFGA,971,36,Python,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 0, '2017-10': 0, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 0, '2018-03': 0, '2018-04': 0, '2018-05': 0, '2018-06': 0, '2018-07': 0, '2018-08': 0, '2018-09': 1, '2018-10': 0, '2018-11': 0, '2018-12': 0, '2019-01': 0, '2019-02': 0, '2019-03': 0, '2019-04': 0, '2019-05': 7, '2019-06': 21, '2019-07': 0, '2019-08': 1, '2019-09': 24, '2019-10': 48, '2019-11': 120, '2019-12': 0, '2020-01': 0, '2020-02': 0, '2020-03': 0, '2020-04': 0, '2020-05': 6, '2020-06': 2, '2020-07': 6, '2020-08': 41, '2020-09': 37, '2020-10': 0, '2020-11': 0, '2020-12': 7, '2021-01': 0, '2021-02': 18, '2021-03': 21, '2021-04': 88, '2021-05': 48, '2021-06': 2, '2021-07': 0, '2021-08': 30, '2021-09': 16, '2021-10': 0, '2021-11': 0, '2021-12': 0, '2022-01': 0, '2022-02': 16, '2022-03': 36, '2022-04': 34, '2022-05': 3, '2022-06': 1, '2022-07': 9, '2022-08': 5, '2022-09': 11, '2022-10': 0, '2022-11': 49, '2022-12': 29, '2023-01': 74, '2023-02': 45, '2023-03': 0, '2023-04': 0, '2023-05': 1, '2023-06': 0, '2023-07': 2, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 2, '2024-01': 17, '2024-02': 0, '2024-03': 8, '2024-04': 1, '2024-05': 0, '2024-06': 0, '2024-07': 36, '2024-08': 41, '2024-09': 7}","{'commits': 757, 'pull_requests': 82, 'issues': 84, 'reviews': 26}"
verarojman,2991,12,Ruby,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 2, '2017-10': 0, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 0, '2018-03': 0, '2018-04': 0, '2018-05': 0, '2018-06': 0, '2018-07': 0, '2018-08': 0, '2018-09': 0, '2018-10': 0, '2018-11': 0, '2018-12': 0, '2019-01': 0, '2019-02': 0, '2019-03': 0, '2019-04': 0, '2019-05': 0, '2019-06': 0, '2019-07': 0, '2019-08': 0, '2019-09': 0, '2019-10': 0, '2019-11': 0, '2019-12': 41, '2020-01': 7, '2020-02': 3, '2020-03': 1, '2020-04': 10, '2020-05': 9, '2020-06': 4, '2020-07': 17, '2020-08': 6, '2020-09': 5, '2020-10': 249, '2020-11': 178, '2020-12': 38, '2021-01': 98, '2021-02': 106, '2021-03': 108, '2021-04': 88, '2021-05': 47, '2021-06': 68, '2021-07': 53, '2021-08': 8, '2021-09': 93, '2021-10': 19, '2021-11': 4, '2021-12': 42, '2022-01': 14, '2022-02': 61, '2022-03': 130, '2022-04': 91, '2022-05': 189, '2022-06': 47, '2022-07': 49, '2022-08': 71, '2022-09': 44, '2022-10': 29, '2022-11': 41, '2022-12': 40, '2023-01': 92, '2023-02': 78, '2023-03': 67, '2023-04': 57, '2023-05': 72, '2023-06': 117, '2023-07': 42, '2023-08': 42, '2023-09': 66, '2023-10': 101, '2023-11': 75, '2023-12': 44, '2024-01': 24, '2024-02': 4, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 0}","{'commits': 873, 'pull_requests': 662, 'issues': 123, 'reviews': 63}"
AlexandreDecan,1794,43,Jupyter Notebook,"{'2017-01': 19, '2017-02': 2, '2017-03': 78, '2017-04': 69, '2017-05': 22, '2017-06': 9, '2017-07': 3, '2017-08': 1, '2017-09': 31, '2017-10': 54, '2017-11': 11, '2017-12': 35, '2018-01': 13, '2018-02': 33, '2018-03': 99, '2018-04': 156, '2018-05': 24, '2018-06': 90, '2018-07': 16, '2018-08': 38, '2018-09': 29, '2018-10': 17, '2018-11': 21, '2018-12': 32, '2019-01': 11, '2019-02': 2, '2019-03': 2, '2019-04': 7, '2019-05': 31, '2019-06': 6, '2019-07': 18, '2019-08': 3, '2019-09': 53, '2019-10': 14, '2019-11': 7, '2019-12': 30, '2020-01': 0, '2020-02': 63, '2020-03': 54, '2020-04': 8, '2020-05': 5, '2020-06': 8, '2020-07': 11, '2020-08': 27, '2020-09': 25, '2020-10': 21, '2020-11': 13, '2020-12': 29, '2021-01': 3, '2021-02': 43, '2021-03': 7, '2021-04': 43, '2021-05': 14, '2021-06': 1, '2021-07': 2, '2021-08': 4, '2021-09': 30, '2021-10': 18, '2021-11': 3, '2021-12': 5, '2022-01': 3, '2022-02': 9, '2022-03': 10, '2022-04': 7, '2022-05': 9, '2022-06': 7, '2022-07': 5, '2022-08': 7, '2022-09': 11, '2022-10': 12, '2022-11': 6, '2022-12': 13, '2023-01': 13, '2023-02': 10, '2023-03': 7, '2023-04': 1, '2023-05': 30, '2023-06': 4, '2023-07': 2, '2023-08': 4, '2023-09': 3, '2023-10': 38, '2023-11': 7, '2023-12': 5, '2024-01': 6, '2024-02': 8, '2024-03': 8, '2024-04': 10, '2024-05': 2, '2024-06': 4, '2024-07': 2, '2024-08': 0, '2024-09': 8}","{'commits': 1665, 'pull_requests': 26, 'issues': 76, 'reviews': 6}"
m1so,2666,35,Python,"{'2017-01': 7, '2017-02': 11, '2017-03': 60, '2017-04': 26, '2017-05': 20, '2017-06': 9, '2017-07': 7, '2017-08': 11, '2017-09': 4, '2017-10': 18, '2017-11': 6, '2017-12': 0, '2018-01': 13, '2018-02': 1, '2018-03': 2, '2018-04': 18, '2018-05': 2, '2018-06': 7, '2018-07': 0, '2018-08': 0, '2018-09': 0, '2018-10': 2, '2018-11': 19, '2018-12': 37, '2019-01': 49, '2019-02': 59, '2019-03': 60, '2019-04': 113, '2019-05': 156, '2019-06': 51, '2019-07': 60, '2019-08': 68, '2019-09': 106, '2019-10': 100, '2019-11': 95, '2019-12': 51, '2020-01': 66, '2020-02': 93, '2020-03': 140, '2020-04': 78, '2020-05': 58, '2020-06': 61, '2020-07': 53, '2020-08': 104, '2020-09': 141, '2020-10': 93, '2020-11': 150, '2020-12': 87, '2021-01': 43, '2021-02': 1, '2021-03': 0, '2021-04': 0, '2021-05': 0, '2021-06': 0, '2021-07': 0, '2021-08': 2, '2021-09': 0, '2021-10': 2, '2021-11': 0, '2021-12': 2, '2022-01': 0, '2022-02': 0, '2022-03': 6, '2022-04': 10, '2022-05': 29, '2022-06': 0, '2022-07': 27, '2022-08': 2, '2022-09': 0, '2022-10': 0, '2022-11': 0, '2022-12': 0, '2023-01': 0, '2023-02': 0, '2023-03': 24, '2023-04': 44, '2023-05': 1, '2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 6, '2023-10': 7, '2023-11': 9, '2023-12': 2, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 0, '2024-05': 1, '2024-06': 0, '2024-07': 0, '2024-08': 41, '2024-09': 34}","{'commits': 160, 'pull_requests': 39, 'issues': 2, 'reviews': 1}"
tramuntanal,4332,38,Ruby,"{'2017-01': 1, '2017-02': 5, '2017-03': 2, '2017-04': 14, '2017-05': 0, '2017-06': 1, '2017-07': 12, '2017-08': 1, '2017-09': 8, '2017-10': 30, '2017-11': 1, '2017-12': 4, '2018-01': 7, '2018-02': 14, '2018-03': 15, '2018-04': 18, '2018-05': 17, '2018-06': 17, '2018-07': 27, '2018-08': 2, '2018-09': 8, '2018-10': 19, '2018-11': 27, '2018-12': 43, '2019-01': 61, '2019-02': 25, '2019-03': 37, '2019-04': 41, '2019-05': 53, '2019-06': 24, '2019-07': 9, '2019-08': 2, '2019-09': 38, '2019-10': 54, '2019-11': 90, '2019-12': 108, '2020-01': 125, '2020-02': 106, '2020-03': 142, '2020-04': 198, '2020-05': 71, '2020-06': 76, '2020-07': 115, '2020-08': 82, '2020-09': 83, '2020-10': 180, '2020-11': 174, '2020-12': 140, '2021-01': 58, '2021-02': 90, '2021-03': 141, '2021-04': 119, '2021-05': 80, '2021-06': 67, '2021-07': 96, '2021-08': 80, '2021-09': 24, '2021-10': 55, '2021-11': 24, '2021-12': 82, '2022-01': 65, '2022-02': 70, '2022-03': 96, '2022-04': 45, '2022-05': 40, '2022-06': 55, '2022-07': 30, '2022-08': 33, '2022-09': 31, '2022-10': 27, '2022-11': 29, '2022-12': 101, '2023-01': 19, '2023-02': 11, '2023-03': 38, '2023-04': 39, '2023-05': 16, '2023-06': 47, '2023-07': 8, '2023-08': 12, '2023-09': 42, '2023-10': 27, '2023-11': 36, '2023-12': 19, '2024-01': 21, '2024-02': 17, '2024-03': 12, '2024-04': 19, '2024-05': 32, '2024-06': 15, '2024-07': 12, '2024-08': 10, '2024-09': 15}","{'commits': 1887, 'pull_requests': 803, 'issues': 79, 'reviews': 1470}"
